#{"t_start": 1585868685.0776074, "env_id": "SatelliteEnvironment-v0"}
r,l,t
-243.534494,200,4.114944
-630.507105,200,6.181335
-709.245259,200,7.129804
-657.133561,200,8.033272
-605.547602,200,8.934755
-675.901276,200,10.466832
-325.402442,200,11.428282
-639.642961,200,12.322684
-834.481262,200,13.227328
-658.482283,200,14.138679
-615.417176,200,15.065147
-577.702582,200,15.984619
-677.951458,200,16.93886
-701.735319,200,17.889301
-318.484742,200,18.788784
-857.245705,200,19.701258
-705.566675,200,20.599745
-602.080678,200,21.508237
-630.696297,200,22.406929
-769.234654,200,23.313393
-760.577316,200,24.246857
-651.432025,200,25.15134
-1244.595908,200,26.054821
-707.713065,200,26.956317
-663.04256,200,27.858785
-676.366777,200,28.775259
-101.612935,200,29.675755
-657.004694,200,30.579238
-642.760224,200,31.48272
-217.335599,200,32.392183
-731.15076,200,33.316652
-559.412196,200,34.216134
-643.179707,200,35.128612
-653.912075,200,36.029092
-716.401079,200,36.93159
-840.683205,200,37.885608
-695.051976,200,38.792088
-692.926047,200,39.689559
-658.213953,200,40.58805
-751.035021,200,41.490539
-1543.143224,200,42.461981
-593.457202,200,43.377442
-661.453932,200,44.285933
-20.316957,200,45.204391
-725.421989,200,46.113885
-647.228549,200,47.039353
-578.158609,200,47.950814
-673.59334,200,48.860307
-656.215536,200,49.774768
-549.971309,200,50.690256
-690.937422,200,51.712653
-669.392553,200,52.586154
-686.341763,200,53.492634
-655.632627,200,54.398128
-663.074986,200,55.301593
-689.271845,200,56.225078
-718.985256,200,57.140538
-693.142699,200,58.049018
-536.806756,200,58.953499
-668.229905,200,59.86299
-529.263797,200,60.793456
-554.375387,200,61.700921
-671.763952,200,62.6054
-1241.885669,200,63.518878
-676.068419,200,64.423763
-545.371666,200,65.349028
-848.850123,200,66.257477
-699.288473,200,67.235916
-609.253436,200,68.248271
-126.761701,200,69.432044
-654.36178,200,70.409705
-784.226662,200,71.341317
-736.671602,200,72.252923
-728.433772,200,73.169382
-791.576452,200,74.07986
-336.786236,200,75.022334
-593.04544,200,75.935596
-664.436995,200,76.893033
-1155.90836,200,77.807508
-611.670745,200,78.719993
-578.223711,200,79.65045
-728.869877,200,80.56992
-1038.863558,200,81.488395
-671.804754,200,82.404882
-1783.773943,200,83.340329
-747.173819,200,84.287788
-654.907833,200,85.215255
-518.450693,200,86.130728
-766.235183,200,87.036223
-871.80446,200,87.95066
-509.928837,200,88.886137
-772.34513,200,89.802598
-234.490797,200,90.719071
-806.461433,200,91.635545
-631.411629,200,92.571603
-666.140637,200,93.513608
-680.302567,200,94.431421
-622.891751,200,95.369867
-340.925893,200,96.290354
-765.229107,200,97.210809
-728.62142,200,98.180268
-713.796281,200,99.11673
-397.500261,200,100.040187
-702.180757,200,100.958673
-731.803495,200,101.87813
-693.272374,200,102.807598
-654.541582,200,103.721074
-733.837241,200,104.668529
-651.54523,200,105.639985
-686.538156,200,106.607415
-712.776389,200,107.527888
-18.079111,200,108.463351
-765.596643,200,109.382837
-310.416094,200,110.303308
-730.634649,200,111.224764
-608.184972,200,112.159221
-584.358399,200,113.080692
-649.531252,200,113.999167
-514.617875,200,114.919623
-680.417179,200,115.845106
-746.681987,200,116.796544
-607.171573,200,117.760006
-611.290816,200,118.685475
-501.135107,200,119.60993
-669.375988,200,120.5324
-576.561985,200,121.47386
-678.740644,200,122.390333
-912.652475,200,123.313803
-842.847906,200,124.247266
-802.806644,200,125.192725
-667.96037,200,126.187153
-648.90532,200,127.123614
-613.462724,200,128.377894
-668.17515,200,129.31637
-564.35514,200,130.272806
-692.066584,200,131.273167
-755.579522,200,132.254689
-675.448557,200,133.413942
-667.2149,200,134.490556
-652.007411,200,135.487147
-2.183093,200,136.518552
-567.094181,200,137.883769
-700.928775,200,139.086081
-676.419417,200,140.356941
-679.5631,200,141.554821
-674.799936,200,142.789654
-606.870126,200,143.851655
-823.418869,200,145.07114
-764.152081,200,146.188261
-1019.039937,200,147.323307
-831.599776,200,148.582345
-745.614985,200,149.76937
-679.43096,200,151.037583
-608.170581,200,152.173029
-1.169344,200,153.228446
-1348.842105,200,154.274843
-683.87315,200,155.222348
-809.934938,200,156.23725
-480.208619,200,157.392934
-644.588013,200,158.338996
-742.31053,200,159.299923
-477.417521,200,160.255826
-571.241865,200,161.229275
-711.257845,200,162.284668
-681.467151,200,163.33107
-694.109115,200,164.291872
-683.598156,200,165.29728
-560.331425,200,166.287709
-603.850647,200,167.208184
-740.389769,200,168.118659
-680.929203,200,169.067129
-704.648499,200,170.001593
-866.60325,200,170.930048
-563.011592,200,171.860526
-633.207101,200,172.78698
-665.103032,200,173.734437
-237.232495,200,174.660904
-575.921195,200,175.586371
-761.525129,200,176.511842
-683.003288,200,177.44269
-771.06266,200,178.409383
-694.136425,200,179.340836
-1279.162266,200,180.2723
-945.152476,200,181.197769
-652.173578,200,182.124236
-652.943725,200,183.07111
-641.016861,200,184.002586
-120.217825,200,184.924044
-551.199428,200,185.856506
-224.665611,200,186.78299
-486.981934,200,187.711441
-1453.744042,200,188.633914
-669.347807,200,189.564393
-699.088657,200,190.491847
-619.627187,200,191.41533
-132.320433,200,192.355787
-635.217222,200,193.277339
-607.493181,200,194.20282
-748.063306,200,195.1333
-736.888642,200,196.077744
-778.114998,200,197.140763
-746.62307,200,198.11104
-675.525003,200,199.066478
-663.979516,200,200.032926
-689.780655,200,201.021357
-665.527183,200,201.999794
-985.084021,200,202.950264
-655.405819,200,203.926688
-432.042938,200,204.857169
-578.521536,200,205.793618
-618.649406,200,206.789917
-724.155614,200,207.710633
-782.827182,200,208.648107
-834.879862,200,209.580467
-697.010471,200,210.516484
-623.643003,200,211.459785
-670.253438,200,212.380244
-1425.832617,200,213.311708
-770.715073,200,214.236191
-595.808945,200,215.160644
-625.808596,200,216.118097
-687.730527,200,217.13451
-671.369284,200,218.050987
-705.308645,200,218.98645
-643.487474,200,219.90992
